SATV,SATM,CGPA,MGPA,Psych1,Psych10,SAT,SEX
NA,NA,3.38,3.42,NA,2.66,NA,Female
750,780,3.71,3.79,4,4,1530,Male
770,750,3.22,3.67,2.33,2.66,1520,Male
730,790,3.16,3.54,3.33,3.33,1520,Male
590,920,3.02,3.07,3,3.33,1510,Male
750,760,3.11,3.07,4,3.33,1510,Male
760,740,3.22,3.42,3,3,1500,Female
740,750,3.52,3.67,3.66,3.66,1490,Male
730,760,3.39,3.53,NA,3.33,1490,Female
710,780,3.32,3.29,3,4,1490,Male
680,800,3.06,3.67,4,3.33,1480,Male
740,740,2.67,2.33,2.66,3.33,1480,Female
750,720,3.74,3.96,4,4,1470,Female
720,750,3.35,3.72,3.66,3.66,1470,Female
760,710,3.32,3.57,3.66,2.66,1470,Male
780,690,3.59,3.57,3.66,3,1470,Female
740,730,2.78,3.25,2,3,1470,Male
760,700,3.25,3.82,3.66,3.66,1460,Female
690,770,3.64,3.75,3.66,4,1460,Male
710,750,3.4,3.51,NA,3.33,1460,Male
760,700,2.78,2.83,2.66,2.66,1460,Female
710,750,2.53,2.42,2,1.66,1460,Male
760,690,3.9,4,4,3.33,1450,Female
710,740,3.75,3.92,3.66,4,1450,Female
700,750,3.6,3.78,4,4,1450,Male
700,750,3.46,3.7,4,3.66,1450,Female
700,750,3.21,3.22,2.66,3.33,1450,Male
710,740,2.45,2.81,3.33,2,1450,Male
700,750,2.86,2.7,2,3.66,1450,Male
750,690,3.84,4,4,4,1440,Female
750,690,3.71,3.83,4,4,1440,Female
690,750,3.62,3.81,4,3.66,1440,Male
760,680,3.53,3.76,3.33,4,1440,Female
670,770,3.26,3.42,3.66,2.66,1440,Male
690,750,3.15,3.29,3.66,3.33,1440,Male
790,650,2.66,3.15,3,2.66,1440,Male
690,750,2.2,2.17,2.33,1,1440,Male
750,680,3.86,4,4,4,1430,Male
670,760,3.46,3.86,4,4,1430,Male
720,710,3.68,3.73,4,4,1430,Female
730,700,3.24,3.66,3.33,4,1430,Male
660,770,3.49,3.64,3.66,3.33,1430,Male
720,710,3.32,3.47,NA,3.33,1430,Female
680,750,3.35,3.21,3.33,2.33,1430,Female
690,740,3.2,3.2,3.66,2.66,1430,Male
660,770,3.19,3.2,3,4,1430,Female
660,770,2.92,2.79,3.66,3.33,1430,Male
670,750,3.43,3.71,3.66,4,1420,Male
690,730,3.58,3.63,2.66,3,1420,Female
690,730,3.54,3.63,3.33,4,1420,Female
630,790,3.48,3.57,4,4,1420,Male
670,750,2.96,3.33,3.66,3,1420,Male
660,760,3.47,3.33,3.66,4,1420,Male
680,740,2.8,3.29,2.66,3.66,1420,Male
660,760,3.14,3.27,3.66,3,1420,Female
670,750,3.17,3.13,2.33,3,1420,Male
710,710,2.58,2.79,1.66,2,1420,Male
690,730,2.04,2.29,2.33,2,1420,Male
640,770,3.92,4,NA,4,1410,Male
710,700,3.84,3.93,4,4,1410,Female
670,740,3.65,3.89,4,3.33,1410,Male
630,780,3.75,3.75,4,4,1410,Male
700,710,3.39,3.73,3.33,3.33,1410,Male
650,760,3.44,3.67,3.33,3.33,1410,Male
630,780,3.45,3.63,3.66,3.66,1410,Male
750,660,3.28,3.38,3.33,3.33,1410,Female
660,750,3.31,3.33,3.66,3,1410,Male
670,740,3.06,3.17,2.66,3.33,1410,Female
710,700,3.36,3.17,3,3.33,1410,Female
730,680,2.72,3.04,2.33,2.66,1410,Male
710,700,2.72,2.85,3,3.66,1410,Female
640,770,2.31,2.23,3.66,0,1410,Male
640,770,2.22,2.17,3.66,0,1410,Male
670,730,3.67,3.96,3.66,4,1400,Male
650,750,3.57,3.96,4,4,1400,Male
690,710,3.43,3.79,3.66,3.66,1400,Male
710,690,3.34,3.66,3.66,3.66,1400,Male
710,690,3.26,3.58,3.33,4,1400,Female
680,720,3.04,3.29,3,3.33,1400,Female
690,710,2.75,3.17,2.66,3.33,1400,Male
670,730,3.2,3.13,3.66,3.66,1400,Male
730,670,3.39,3.07,3.66,3.66,1400,Male
660,740,2.96,2.71,3,2.66,1400,Male
650,750,2.96,2.67,3.66,3,1400,Male
680,710,3.55,3.97,4,4,1390,Male
680,710,3.29,3.67,4,3.66,1390,Male
700,690,3.32,3.58,3,3.66,1390,Female
670,720,3.51,3.57,3.66,3.66,1390,Female
680,710,3.14,3.5,3.66,4,1390,Male
670,720,3.28,3.48,2.66,3,1390,Male
660,730,3.06,3.22,3.66,3.66,1390,Male
650,740,2.73,2.77,3,3,1390,Male
640,750,2.39,2.38,3.33,2.66,1390,Male
710,670,3.8,3.97,3.33,4,1380,Female
670,710,3.67,3.96,3.33,3.66,1380,Male
670,710,3.73,3.93,3.66,3.66,1380,Male
670,710,3.36,3.71,3.66,4,1380,Female
690,690,3.27,3.54,2,3,1380,Male
640,740,3.25,3.5,3.66,4,1380,Male
630,750,3.04,3.43,2,3,1380,Male
600,780,3.35,3.42,3.33,4,1380,Male
660,720,3.12,3.37,3,NA,1380,Male
660,710,3.83,4,4,4,1370,Male
690,680,3.54,3.7,4,4,1370,Female
650,720,3.33,3.67,4,3,1370,Female
650,720,3.42,3.54,2.66,4,1370,Male
620,750,3.53,3.5,3.66,3,1370,Male
610,760,3.43,3.42,1.66,4,1370,Male
680,690,3.08,3.29,3.33,3,1370,Female
690,680,3.26,3.25,3.22,2.66,1370,Female
620,750,2.9,3.1,2.33,3,1370,Male
630,740,2.73,3,2.33,3.66,1370,Female
600,770,3.09,2.9,3,2.66,1370,Male
640,730,2.86,2.88,2.66,3.33,1370,Male
690,680,2.73,2.7,2.33,3,1370,Male
650,720,2.81,2.63,3,3,1370,Male
690,670,3.76,4,3.66,4,1360,Female
680,680,3.73,3.96,3.66,4,1360,Female
710,650,3.59,3.85,4,3.66,1360,Male
630,730,3.48,3.75,3.66,3.66,1360,Male
650,710,3.78,3.75,4,3,1360,Female
700,660,3.46,3.71,3.66,3,1360,Female
680,680,3.54,3.71,3,3.66,1360,Female
700,660,3.24,3.67,3.66,3,1360,Male
710,650,3.52,3.66,3.66,NA,1360,Male
690,670,3.6,3.63,4,4,1360,Male
690,670,3.41,3.57,2.66,2.33,1360,Male
630,730,3.65,3.54,4,3.66,1360,Male
650,710,3.49,3.54,3.66,3.66,1360,Female
620,740,3.53,3.47,4,4,1360,Female
630,730,2.87,3.42,3,3,1360,Female
680,680,3.07,3.37,3.66,4,1360,Female
710,650,2.96,3.33,3,2,1360,Female
610,750,3.12,3.29,3.66,3.66,1360,Male
700,660,3.43,3.29,3.33,3,1360,Male
640,720,2.98,3.08,2.66,2.33,1360,Male
660,700,2.96,3.04,3,3.66,1360,Female
600,760,2.9,2.9,3,3,1360,Male
670,690,2.54,2.33,2,2.33,1360,Female
660,690,3.85,4,4,4,1350,Female
670,680,3.7,3.97,4,4,1350,Male
700,650,3.55,3.9,3,3.66,1350,Female
660,690,3.56,3.88,4,4,1350,Male
680,670,3.57,3.85,4,3.66,1350,Male
680,670,3.47,3.61,3.66,4,1350,Male
640,710,3.29,3.59,2,3.66,1350,Male
610,740,3.3,3.59,3.66,3,1350,Female
620,730,3.15,3.56,2.66,2.66,1350,Male
590,760,3.42,3.54,3.33,4,1350,Male
660,690,3.12,3.54,3.33,4,1350,Male
700,650,3.37,3.39,3,3,1350,Female
710,640,3.23,3.36,3.33,3,1350,Male
590,760,3.13,3.25,3.33,3.66,1350,Female
570,780,3.14,3.17,3.66,2.66,1350,Male
680,670,2.95,3.13,2.33,3,1350,Female
630,720,3.12,3.11,3,3,1350,Male
580,770,2.75,3,2.66,2.33,1350,Male
630,720,3.14,2.88,3,3,1350,Female
630,720,2.73,2.85,3.66,2.66,1350,Female
670,680,2.25,2.78,3,2.33,1350,Male
700,650,2.42,2.62,2.33,2.66,1350,Female
600,750,2.54,2.3,2.33,3.33,1350,Female
670,670,3.77,4,4,4,1340,Male
620,720,3.75,3.9,3,4,1340,Male
580,760,3.58,3.71,3.66,4,1340,Male
610,730,3.63,3.71,4,4,1340,Female
670,670,3.25,3.7,3.66,2.66,1340,Male
700,640,3.48,3.63,4,2.66,1340,Male
690,650,3.49,3.59,3.66,4,1340,Female
660,680,3.29,3.54,3.33,3,1340,Female
650,690,3.25,3.52,3.66,NA,1340,Male
620,720,3.07,3.5,3.33,4,1340,Male
600,740,3.37,3.43,3.33,4,1340,Female
610,730,2.89,3.38,3.33,3.66,1340,Male
720,620,3.23,3.38,3,2.66,1340,Female
710,630,3.3,3.3,3.66,2.66,1340,Male
580,760,3.24,3.27,3,4,1340,Male
670,670,3.2,3.25,3,2.33,1340,Female
660,680,2.84,3.21,3,3,1340,Male
640,700,3.21,3.17,3.33,3.66,1340,Male
610,730,3,2.79,3,2.66,1340,Male
700,640,2.42,2,3.66,1.33,1340,Female
640,690,3.78,3.87,4,4,1330,Female
680,650,3.75,3.83,3.66,3.66,1330,Female
660,670,3.55,3.75,3.33,3.33,1330,Female
710,620,3.6,3.73,3.33,3.33,1330,Female
660,670,3.59,3.7,2.33,4,1330,Male
710,620,3.48,3.67,3.33,3.66,1330,Male
710,620,3.21,3.59,3.33,2.66,1330,Female
630,700,3.45,3.58,4,3.66,1330,Male
670,660,3.44,3.57,4,3.33,1330,Female
650,680,3.47,3.47,3.66,3.66,1330,Female
710,620,3.17,3.33,3,3,1330,Male
680,650,3.16,3.25,3.33,3,1330,Male
650,680,2.71,3.25,3.66,3,1330,Male
720,610,3.23,3.25,2.66,3.33,1330,Female
680,650,3.15,3.22,2.66,3,1330,Female
600,730,3.07,3.17,3.33,3,1330,Male
600,730,3.06,3.14,3,3.33,1330,Male
660,670,3.07,3.13,3,3,1330,Female
630,700,2.96,2.96,2.66,3.33,1330,Female
670,660,2.98,2.93,2.33,2.66,1330,Female
660,670,2.94,2.88,2.33,3,1330,Male
660,670,2.23,2.86,1,2.33,1330,Male
730,590,3.59,3.75,3.66,2,1320,Male
590,730,3.48,3.73,2.66,4,1320,Female
640,680,3.54,3.71,3,4,1320,Male
660,660,3.41,3.7,3.66,3.33,1320,Male
680,640,3.44,3.67,3.33,3.66,1320,Male
730,590,3.47,3.67,3.33,2.66,1320,Female
630,690,3.47,3.67,4,2.66,1320,Female
590,730,3.71,3.67,3.33,3.66,1320,Female
640,680,3.42,3.48,3.33,3.33,1320,Male
670,650,3.39,3.48,3.66,3.33,1320,Male
670,650,3.23,3.47,4,3.66,1320,Male
610,710,3.33,3.41,3.66,3.33,1320,Male
620,700,3.22,3.38,2,3.33,1320,Female
600,720,3.49,3.36,2.66,3,1320,Female
600,720,3.55,3.26,4,3.66,1320,Female
680,640,3.24,3.26,4,2,1320,Female
640,680,3.05,3.17,3.33,3.66,1320,Male
640,680,3.11,3.17,3,2.66,1320,Female
610,710,3.16,3.15,2.33,3,1320,Male
670,650,2.69,2.9,2.66,3,1320,Male
650,670,2.16,2.11,2.33,2.66,1320,Male
610,700,3.68,3.92,3,4,1310,Male
650,660,3.76,3.92,4,4,1310,Female
620,690,3.6,3.88,4,3.33,1310,Male
570,740,3.65,3.81,4,4,1310,Female
650,660,3.23,3.79,3.33,4,1310,Female
700,610,3.61,3.71,4,3.33,1310,Female
670,640,3.5,3.7,3,3.33,1310,Female
600,710,3.67,3.63,4,3.33,1310,Male
550,760,3.51,3.5,3.66,3.66,1310,Male
660,650,3.21,3.48,3,2.66,1310,Female
690,620,3.36,3.47,3,3,1310,Female
620,690,3.36,3.42,3,3,1310,Female
600,710,3.11,3.38,3.33,3,1310,Male
650,660,3.19,3.3,3.33,3.33,1310,Male
640,670,3.19,3.2,3.66,3.33,1310,Male
650,660,2.77,3.2,3.33,3.33,1310,Female
610,700,2.8,3.13,3.66,3.33,1310,Male
610,700,2.83,3.08,2.66,3.33,1310,Male
610,700,2.95,3.04,3.33,3.66,1310,Male
560,750,2.97,2.92,3.33,3.66,1310,Male
630,680,2.86,2.33,3.33,NA,1310,Female
620,680,3.42,3.96,NA,4,1300,Female
650,650,3.6,3.9,4,3.66,1300,Female
650,650,3.77,3.85,3.66,4,1300,Female
610,690,3.44,3.83,4,4,1300,Male
640,660,3.8,3.83,3.66,4,1300,Male
660,640,3.77,3.81,3.66,3.33,1300,Female
580,720,3.72,3.77,3.66,3.66,1300,Female
680,620,3.44,3.75,3.33,3.66,1300,Female
560,740,3.67,3.67,3.66,4,1300,Male
650,650,3.33,3.67,4,3,1300,Female
600,700,3.53,3.67,4,3.33,1300,Female
600,700,3.31,3.54,3.33,3.66,1300,Female
620,680,3.3,3.54,4,3,1300,Female
570,730,3.41,3.52,3.33,3.66,1300,Female
600,700,3.28,3.42,3.33,3.66,1300,Male
620,680,3.06,3.38,4,3.33,1300,Male
630,670,3.01,3.29,2.66,2.33,1300,Female
600,700,2.95,3.22,3.33,3.33,1300,Male
650,650,3.36,3.2,4,3.66,1300,Male
630,670,2.8,3.12,3,3.33,1300,Male
640,660,2.75,2.97,2.33,3,1300,Female
630,670,2.64,2.54,3.33,3,1300,Male
610,690,2.9,2.41,3.33,3.33,1300,Male
580,710,3.67,3.97,4,3.66,1290,Female
650,640,3.67,3.88,3.66,4,1290,Female
570,720,3.57,3.81,3.66,4,1290,Male
590,700,3.48,3.79,4,4,1290,Male
610,680,3.64,3.75,3.33,4,1290,Female
550,740,3.51,3.7,3.33,4,1290,Female
610,680,3.27,3.63,3.33,3.66,1290,Female
670,620,3.45,3.58,4,3,1290,Female
590,700,3.43,3.5,3,3,1290,Male
600,690,3.35,3.5,3.33,3.66,1290,Female
640,650,3.17,3.43,3.66,3,1290,Female
560,730,3.48,3.42,3,2.66,1290,Female
680,610,3.2,3.37,3,3,1290,Female
660,630,2.85,3.25,3.66,3,1290,Male
580,710,3.27,3.24,3.66,3.33,1290,Male
610,680,3.14,3.21,3.66,3,1290,Male
640,650,3.32,3.21,3.66,3.33,1290,Male
580,710,3.41,3.17,4,3,1290,Female
580,710,2.75,3.06,3,2,1290,Female
610,680,3,2.95,3,2.66,1290,Male
660,630,2.63,2.88,3.66,2.66,1290,Male
570,720,2.82,2.7,1.66,3.66,1290,Female
580,710,2.97,2.67,2.33,3,1290,Male
610,680,2.25,2.63,2.33,2,1290,Male
670,620,2.22,2.46,2.33,2.33,1290,Male
650,630,3.41,3.79,3.33,3.33,1280,Female
610,670,3.31,3.67,2.33,3.33,1280,Male
590,690,3.5,3.67,3,2.33,1280,Female
580,700,3.16,3.46,3,3,1280,Female
660,620,3.46,3.45,3,3.66,1280,Female
640,640,3.32,3.44,3.33,3.33,1280,Female
640,640,3.07,3.37,3,3.33,1280,Male
570,710,3.02,3.37,3.33,3.33,1280,Male
580,700,3.03,3.33,2.33,2.66,1280,Female
610,670,2.78,3.24,3.66,3.33,1280,Male
610,670,3.15,3.21,3.66,3.66,1280,Male
640,640,3.18,3.17,3.33,3.33,1280,Male
